date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:41	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2015%20Dec%202022%2008:19:42%20GMT	http://pps.wealthcreatorsmethod.com/app/properties	pps.wealthcreatorsmethod.com/app/properties.0.delayed	(from )
11:19:42	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Dec%202022%2008:19:42%20GMT	http://pps.wealthcreatorsmethod.com/app	pps.wealthcreatorsmethod.com/app	(from )
11:19:43	138/138	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Thu,%2015%20Dec%202022%2008:19:44%20GMT	http://pps.wealthcreatorsmethod.com/robots.txt		(from )
11:19:43	2426/2426	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202022%2008:19:44%20GMT	http://pps.wealthcreatorsmethod.com/app/	pps.wealthcreatorsmethod.com/app/index.html	(from )
11:19:44	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-53c3c066c04c0%22	http://pps.wealthcreatorsmethod.com/app/favicon.ico	pps.wealthcreatorsmethod.com/app/favicon.ico	(from http://pps.wealthcreatorsmethod.com/app/)
11:19:45	167589/167589	---M-Z	200	added ('OK')	text/css	etag:%2228ea5-53dc928378000-gzip%22	http://pps.wealthcreatorsmethod.com/app/css/base.css	pps.wealthcreatorsmethod.com/app/css/base.css	(from http://pps.wealthcreatorsmethod.com/app/)
11:19:46	9514/9514	---M-Z	200	added ('OK')	text/css	etag:%22252a-53dc929d37cc0-gzip%22	http://pps.wealthcreatorsmethod.com/app/css/cake.css	pps.wealthcreatorsmethod.com/app/css/cake.css	(from http://pps.wealthcreatorsmethod.com/app/)
11:19:47	3266/3266	---M-Z	200	added ('OK')	text/css	etag:%22cc2-5e2ebf4c079c0-gzip%22	http://pps.wealthcreatorsmethod.com/app/css/growthmax.css	pps.wealthcreatorsmethod.com/app/css/growthmax.css	(from http://pps.wealthcreatorsmethod.com/app/)
11:19:50	140455/140455	---M-Z	200	added ('OK')	application/javascript	etag:%22224a7-53c3c0a88e000-gzip%22	http://pps.wealthcreatorsmethod.com/app/js/Chart.min.js	pps.wealthcreatorsmethod.com/app/js/Chart.min.js	(from http://pps.wealthcreatorsmethod.com/app/)
11:19:50	4058/4058	---M--	200	added ('OK')	image/png	etag:%22fda-53d630dd9fdc0%22	http://pps.wealthcreatorsmethod.com/app/img/wcu.png	pps.wealthcreatorsmethod.com/app/img/wcu.png	(from http://pps.wealthcreatorsmethod.com/app/)
11:19:50	2673/2673	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202022%2008:19:51%20GMT	http://pps.wealthcreatorsmethod.com/app/users/add	pps.wealthcreatorsmethod.com/app/users/add.html	(from http://pps.wealthcreatorsmethod.com/app/)
11:19:51	2138/2138	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Dec%202022%2008:19:51%20GMT	http://pps.wealthcreatorsmethod.com/app/users/resetpassword	pps.wealthcreatorsmethod.com/app/users/resetpassword.html	(from http://pps.wealthcreatorsmethod.com/app/)
11:19:54	36910/36910	---M--	200	added ('OK')	image/png	etag:%22902e-53d1ef200b880%22	http://pps.wealthcreatorsmethod.com/app/img/proppro.png	pps.wealthcreatorsmethod.com/app/img/proppro.png	(from http://pps.wealthcreatorsmethod.com/app/)
11:19:54	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Dec%202022%2008:19:54%20GMT	http://pps.wealthcreatorsmethod.com/app	pps.wealthcreatorsmethod.com/app	(from http://pps.wealthcreatorsmethod.com/app/users/add)
11:19:54	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Dec%202022%2008:19:55%20GMT	http://pps.wealthcreatorsmethod.com/app	pps.wealthcreatorsmethod.com/app	(from http://pps.wealthcreatorsmethod.com/app/users/resetpassword)
